מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,040423SHERO53,מפרש 23 SUPER HERO 5.3,14230-1200,,
,0,040423SSTAR53,מפרש 23 SUPER STAR HD 5.3,14230-1208,,
,0,040424EPACE58,מפרש 24 E_PACE מ 5.8,14240-1211,,
,0,040424EPACE62,מפרש 24 E_PACE מ 6.2,14240-1211,,
,0,040424EPACE66,מפרש 24 E_PACE מ 6.6,14240-1211,,1.00
,0,040424EPACE73,מפרש 24 E_PACE מ 7.3,14240-1211,,
,0,040424EPACES66,מפרש 24 E_PACE SLS 6.6,14240-1210,,
,0,040424HERO40,מפרש 24 SUPER HERO 4.0,14240-1200,,1.00
,0,040424HERO45,מפרש 24 SUPER HERO 4.5,14240-1200,,1.00
,0,040424HERO50,מפרש 24 SUPER HERO 5.0,14240-1200,,1.00
,0,040424HERO53,מפרש 24 SUPER HERO 5.3,14240-1200,,1.00
,0,040425HERODLAB50,מפרש 25 SUPER HERO DLAB 5.0,14250-1202,,
,0,040426HERODLAB45,מפרש 26 SUPER HERO DLAB 4.5,14260-1202,,
,0,040426HERODLAB47,מפרש 26 SUPER HERO DLAB 4.7,14260-1202,,
,0,040426HERODLAB53,מפרש 26 SUPER HERO DLAB 5.3,14260-1202,,
,0,406,***תרנים***,,,
,0,04061701R290,תורן 290 EPX RDM,14900-1625,,
,0,04061701R340,תורן 340 EPX RDM,14900-1625,,
,0,04061701R370,תורן 370 EPX RDM,14900-1625,,
,0,04061701R400,תורן 400 EPX RDM,14900-1625,,
,0,04061701S430,תורן 430 EPX SDM,14900-1625,,
,0,04061701S460,תורן 460 EPX SDM,14900-1625,,
,0,04061802R400,תורן 400 BLACK.50 RDM,14900-1612,,1.00
,0,04061802R430,תורן 430 BLACK.50 RDM,14900-1612,,
,0,04061802S430,תורן 430 BLACK.50 SDM,14900-1612,,
,0,04061802S460,תורן 460 BLACK.50 SDM,14900-1612,,
,0,04061804R400,תורן 400 SILVER.70 RDM,14900-1600,,3.00
,0,04061804R430,תורן 430 SILVER.70 RDM,14900-1600,,
,0,04061804S460,תורן 460 SILVER.70 SDM,14900-1600,,
,0,04061804S490,תורן 490 SILVER.70 SDM,14900-1600,,
,0,04061806R370,תורן 370 GOLD.90 RDM,14900-1601,,2.00
,0,04061806R400,תורן 400 GOLD.90 RDM,14900-1601,,3.00
,0,04061806R430,תורן 430 GOLD.90 RDM,14900-1601,,2.00
,0,04061806S430,תורן GOLD.90 SDM 430,14900-1601,,
,0,04061806S460,תורן 460 GOLD.90 SDM,14900-1601,,
,0,04061806S490,תורן 490 GOLD.90 SDM,14900-1601,,
,0,04061808R400,תורן PLATINUM.100 RDM 400,14220-1609,,
,0,04061808S430,תורן PLATINUM.100 SDM 430,14220-1609,,
,0,0406731019SDM40,מאריך תורן קרבון SDM 40,14900-7310,,2.00
,0,0406EPXGROM200,תורן אלומיניום EPX GROM 200,14900-1620,,
,0,0406EPXGROM6090,תורן אלומניום EPX GROM 60/90,14900-1620,,
,0,408,***מנורים***,,,
,0,04081701A125165,מנור EPX 125-165,14900-1411,,
,0,04081701A140185,מנור 140-185 EPX,14900-1411,,
,0,04081701AC1419,מנור 140-190 EPX CARBON,14900-1412,,
,0,04081701AC1521,מנור 150-210 EPX CARBON,14900-1412,,
,0,04081701AC1621,מנור 160-220 EPX CARBON,14900-1412,,
,0,04081701AC1722,מנור EPX CARBON 175-225,14900-1412,,
,0,04081702A140190,מנור 140-200 BLACK,14230-1400,,
,0,04081702A150200,מנור 150-200 BLACK,14220-1400,,
,0,04081702B160210,מנור 160-210 BLACK,14220-1400,,
,0,04081702B180230,מנור 180-230 BLACK,14220-1400,,
,0,04081704A140190,מנור 140-190 SILVER HD,14200-1401,,1.00
,0,04081704A150200,מנור 150-200 SILVER HD,14200-1401,,
,0,04081704A160210,*מנור 160-210 SILVER HD,14800-1401,,
,0,04081704A160220,מנור SILVER HD 160-220,14200-1401,,1.00
,0,04081704C180230,מנור 180-230 SILVER HD,14200-1401,,
,0,04081704C200250,*מנור 200-250 SILVER HD,14200-1401,,
,0,04081705140-190,מנור 140-190 SILVER HD VTS,14220-1401,,1.00
,0,04081705150-200,מנור 150-200 SILVER HD VTS,14220-1401,,
,0,04081705160-220,מנור 160-220 SILVER HD VTS,14230-1401,,
,0,04081705180-230,מנור 180-230 SILVER HD VTS,14220-1401,,1.00
,0,04081705200-250,מנור 200-250 SILVER HD VTS,14220-1401,,2.00
,0,04081710N150200,*מנור 150-200 PLATINUM,14900-1404,,
,0,04081710N160220,מנור 160-220 PLATINUM,14230-1404,,
,0,04081710N170-230,מנור PLATINUM 170-230,14230-1404,,
,0,04081710N190-250,מנור PLATINUM 190-250,14220-1404,,
,0,0408SLIM140180,מנור PLATINUM SLIM 140-180,14220-1404,,1.00
,0,0408SLIM140200,מנור PLATINUM SLIM 140-200,14230-1404,,
,0,040A,***גלישת רוח אביזרים***,,,
,0,040A700019L,תיק ציוד למערך L/490,14900-7000,,
,0,040A700019S,תיק ציוד למערך S/430,14900-7000,,
,0,040A730022R36,מאריך סקיני קרבון 36,14220-7300,,
,0,040A730322R36,מאריך סקיני ראטצ'ט קרבון 36,14220-7303,,
,0,040A730422R36,מאריך סקיני ראטצ'ט 36,14220-7304,,12.00
,0,040A730422S28,מאריך רגיל ראטצ'ט 28,14220-7304,,7.00
,0,040A730422S42,מאריך רגיל ראטצ'ט 42,14220-7304,,5.00
,0,040A80002222-28A,חבקי טרפז DTW 22-28 סגול/צהוב,14220-8000,,1.00
,0,040A80021922B,חבקי טרפז פרו 22 DTW אפור/שחור,14900-8002,,1.00
,0,040A80021928A,חבקי טרפז פרו DTW 28 סגול/צהוב,14900-8002,,7.00
,0,040A80031926A,חבקי טרפז פרו 26 DTW סגול/צהוב,14900-8002,,7.00
,0,040A80031930,חבקי טרפז 30 DTW שחור,14900-8003,,1.00
,0,040S,***חלקי חילוף גלישת רוח***,,,
,0,040S198153,רצועת מתיחה לכובע מפרש,14900-8153,,
,0,040S8002M6X90,בורג לסנפיר PB M6X90,94070-8002,,2.00
,0,040S802223,,,,
,0,040S802822,מותחן מנור גלשן רוח VTS TAIL,14220-8028,,
,0,040S803122,מותחן מנור גלשן רוח ITAIL WAVE,14220-8031,,1.00
,0,040S804630,סנפיר POWERBOX 30,14240-8046,,
,0,040S8087,חלק חילוף לראש מנור,14220-8084,,1.00
,0,040S810022,זנב למנור קרבון,14220-8100,,
201,0,040S8120C,חלק חילוף (TAB) לקמבר C,14200-8120,,2.00
201,0,040S8120E,חלק חילוף (TAB) לקמבר E,14200-8120,,3.00
201,0,040S8120G,חלק חילוף (TAB) לקמבר G,14200-8120,,2.00
201,0,040S8120J,חלק חילוף (TAB) לקמבר J,14200-8120,,1.00
,0,040S8152,כובע למפרש גלשן רוח DRIVE/ALFA,14900-8152,,
,0,040S815719,כפתור למאריך דואוטון SS13-21,14900-8157,,
,0,040S8185,אינסרט למסילת קרדן גלשן רוח,14900-8185,,1.00
,0,040S880890,בורג לגלשן רוח M6X90,14240-8808,,19.00
,0,0414184000L,חולצה DT מידה L שחור,44242-5000,,
,0,0414184000M,חולצה DT מידה M שחור,44242-5000,,7.00
,0,0414184000S,חולצה DT מידה S שחור,44202-5000,,1.00
,0,0414184000XL,חולצה DT מידה XL שחור,44202-5000,,3.00
,0,0414184000XXL,חולצה DT מידה XXL שחור,44202-5000,,1.00
,0,0414185000R,כיסוי לתורן RDM,14900-7001,,2.00
,0,0414185000S,כיסוי לתורן SDM,14900-7001,,
,0,414185050,תיק ציוד לגלישת רוח S/430,48200-7043,,1.00
,0,414185053,תיק ציוד לגלישת רוח L/490,48200-7043,,
,0,04A0001,משקפי שמש פולורויאד BOMBAR,,,1.00
,0,04A0002,משקפי שמש BOMBAR,,,1.00
"סה""כ כללי לדו""ח :",,,,,,
,,,,,,142
